run,expression,n_vectors,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,sd
10_100,parallelDist_8,100,1.37577997520566e-4,2.0497397053986788e-4,4922.053916201899,43200,4.926980897098997,999,1,0.20296405057888478,1.8373553112810257e-4
100_1000,stats,100,0.0016607961151748896,0.0017063210834749043,579.6470266820933,39648,0,1000,0,1.7251878366805613,9.998771509329423e-5
100_1000,proxy,100,0.0019098320044577122,0.001995960541535169,478.21901610399755,122152,0.9583547416913779,998,2,2.0869099019328132,4.5883647125207936e-4
100_1000,proxyC,100,0.0012580000329762697,0.001332324172835797,732.7101254200778,580224,7.401112377980584,990,10,1.3511482449248433,4.8734661530699144e-4
100_1000,distances,100,6.74370676279068e-5,7.427908712998033e-5,12278.558682172965,280192,49.311480651297046,996,4,0.08111701265443116,5.623013947681511e-4
100_1000,distances_matrix,100,4.069529240950942e-4,4.278230480849743e-4,2289.4032095447083,719888,25.463534180982602,989,11,0.43199030903633684,5.057736019166158e-4
100_1000,Rfast,100,1.6697309911251068e-4,1.7301400657743216e-4,5656.8566716348005,162648,17.02163491966339,997,3,0.1762462897459045,2.4475627467609735e-4
100_1000,rcpp_serial,100,2.7701002545654774e-4,2.8884195489808917e-4,3424.6871824142945,82600,6.86310056596051,998,2,0.2914134771563113,1.932569404486727e-4
100_1000,rcpp_parallel_8,100,4.792003892362118e-5,5.2677933126688004e-5,18293.601516768365,82600,18.311913430198565,999,1,0.054609257727861404,1.815328084261096e-4
100_1000,fortran_serial,100,3.181870561093092e-4,3.284011036157608e-4,2990.3339797092253,240144,12.00937341248685,996,4,0.3330731639871374,2.94398466442864e-4
100_1000,fortran_parallel_8,100,3.17766098305583e-4,3.270335146225989e-4,3009.3975932593153,240144,12.085934109475161,996,4,0.3309632473392412,2.7081775784023476e-4
100_1000,c_fortran_serial,100,2.7288193814456463e-4,2.7765100821852684e-4,3568.744509640548,0,0,1000,0,0.28021058870945126,1.3276571473408501e-5
100_1000,c_fortran_parallel_8,100,2.7483596932142973e-4,2.794440370053053e-4,3541.7550714258546,0,0,1000,0,0.2823458934435621,1.7178162703568938e-5
100_1000,GPUmatrix,100,4.7889910638332367e-4,5.148759810253978e-4,1916.5593577590016,23296,1.9184778355945962,999,1,0.521246574469842,2.9847381619670424e-4
100_1000,parallelDist_1,100,5.447311559692025e-4,5.584780592471361e-4,1761.607730886344,43200,1.7633711019883322,999,1,0.5670956039102748,2.5914155472378633e-4
100_1000,parallelDist_8,100,1.4696503058075905e-4,2.0921311806887388e-4,4728.696072972555,43200,4.733429502475031,999,1,0.21126331330742687,1.6192019427438927e-4
100_1000,stats,200,0.01331527007278055,0.013568983995355666,72.80322671242676,159248,0.21906688077961917,997,3,13.694447966408916,7.811443801805094e-4
100_1000,proxy,200,0.013706991099752486,0.014728278096299618,68.15823870331756,481752,0.5496632153493352,992,8,14.554366704192944,9.057993122095876e-4
100_1000,proxyC,200,0.00491612299811095,0.005460497573949397,180.4626711347979,2287464,8.701554373375998,954,46,5.286411832435988,0.0010208797171789917
100_1000,distances,200,1.7719203606247902e-4,2.201581373810768e-4,4381.192632083766,1120192,98.55443548654686,978,22,0.22322688868734986,0.004657617490700221
100_1000,distances_matrix,200,0.0027736929478123784,0.0028428429504856467,346.3317866319635,2879088,22.498657065548215,939,61,2.7112729360815138,0.0011403796395171222
100_1000,Rfast,200,0.001272958004847169,0.00130878493655473,744.8778019219583,642648,9.810953824706644,987,13,1.3250495550455526,5.19814253380911e-4
100_1000,rcpp_serial,200,0.002532009035348892,0.0026248531648889184,375.95074032631925,322600,1.8891997001322576,995,5,2.646623329259455,3.417288141941014e-4
100_1000,rcpp_parallel_8,200,4.3965503573417664e-4,5.411505699157715e-4,1778.2384834726788,322600,10.733833904261642,994,6,0.5589801419992,7.109653243728311e-4
100_1000,fortran_serial,200,0.0026524970307946205,0.0027513609966263175,356.1252456199398,960144,6.158829273183089,983,17,2.7602648565080017,6.923033864979203e-4
100_1000,fortran_parallel_8,200,0.0026116990484297276,0.002694664988666773,365.9009289150731,960144,7.086766207325574,981,19,2.681053592590615,5.888242371194021e-4
100_1000,c_fortran_serial,200,0.002437231014482677,0.0025239905808120966,389.50117595029946,0,0,1000,0,2.567386343725957,2.0384349414487947e-4
